"","Player","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS","Own","POSRANK","POS","Rscaled","HRscaled","RBIscaled","SBscaled","OBPscaled","RSGP","HRSGP","RBISGP","SBSGP","totalScaled","totalSGP","Jenks","OverallRank","label","Tier"
"23","Yasmani Grandal (MIL - C)",415,58,23,64,1,0.243,0.339,101,20,1,60,118,0.464,0.803,"94%",5,"c",0.990999978392133,1.51477573410451,0.960596283454367,-0.730334652278623,0.955189425682238,2.96638054363376,2.67289719626168,3.1983225580989,0.131012368300504,3.69122676935463,8.96861266629485,"7",23,"Yasmani Grandal (MIL - C) as C. Total: 3.69",4
"24","Jose Altuve (HOU - 2B)",580,95,18,79,22,0.318,0.378,185,35,4,55,80,0.484,0.861,"99%",2,"2b",1.57181012753924,-0.607616620519553,0.352651076121611,0.503491850109497,1.80082440258348,4.85872675250357,2.09183258837871,3.94792940765333,2.88227210261109,3.62116083583428,13.7807608511467,"7",24,"Jose Altuve (HOU - 2B) as 2B. Total: 3.62",4
"25","Willson Contreras (CHC - C)",445,56,15,63,4,0.261,0.333,116,24,3,49,109,0.431,0.764,"97%",6,"c",0.806627889388945,0.145486934913993,0.882815207871018,0.955053006825891,0.689243413891359,2.86409155937053,1.74319382364892,3.14834876812861,0.524049473202016,3.47922645289121,8.27968362435007,"7",25,"Willson Contreras (CHC - C) as C. Total: 3.48",4
"26","Rhys Hoskins (PHI - 1B,LF)",547,92,36,104,5,0.252,0.35,138,31,1,83,142,0.513,0.863,"99%",13,"of",0.781215375134864,1.40453509585293,1.7106710805025,-0.711683810345836,0.257834377522912,4.70529327610872,4.18366517675742,5.19727415691071,0.65506184150252,3.44257211866738,14.7412944512794,"7",26,"Rhys Hoskins (PHI - 1B,LF) as OF. Total: 3.44",4
"27","Buster Posey (SF - C,1B)",449,57,10,56,4,0.29,0.36,130,25,1,49,62,0.417,0.778,"97%",3,"c",0.898813933890539,-0.710318564580083,0.338347678787571,0.955053006825891,1.88600046695031,2.91523605150214,1.16212921576595,2.79853223833654,0.524049473202016,3.36789652187423,7.39994697880665,"7",27,"Buster Posey (SF - C,1B) as C. Total: 3.37",4
"28","Yadier Molina (STL - C)",456,54,16,65,5,0.269,0.312,122,22,1,28,67,0.425,0.736,"93%",4,"c",0.622255800385758,0.316648034812808,1.03837735903772,1.51684889319406,-0.241567627376715,2.76180257510729,1.85940674522552,3.2482963480692,0.65506184150252,3.25256246005363,8.52456750990453,"7",28,"Yadier Molina (STL - C) as C. Total: 3.25",4
"29","Matt Carpenter (STL - 1B,2B,3B)",528,96,28,76,3,0.255,0.369,135,34,2,96,140,0.488,0.857,"99%",8,"2b",1.67910092122793,0.930653304846404,0.122661243868386,-0.945954385054207,1.45302569822187,4.90987124463519,3.25396180414466,3.79800803774244,0.393037104901512,3.23948678311038,12.3548781914238,"7",29,"Matt Carpenter (STL - 1B,2B,3B) as 2B. Total: 3.24",4
"30","Charlie Blackmon (COL - CF)",591,108,29,77,12,0.296,0.356,175,31,7,55,123,0.52,0.876,"99%",9,"of",2.01471333587412,0.607366527936404,0.014656912562445,0.0450432791358124,0.490466898596217,5.52360515021459,3.37017472572125,3.84798182771274,1.57214841960605,3.172246954105,14.3139101232546,"7",30,"Charlie Blackmon (COL - CF) as OF. Total: 3.17",4
"31","Javier Baez (CHC - 2B,3B,SS)",577,88,30,95,17,0.278,0.316,161,33,6,32,158,0.512,0.829,"99%",3,"2b",0.820774571718444,1.2383072899196,1.57926351480547,0.122058630329575,-0.595122227463213,4.50071530758226,3.48638764729785,4.74751004717806,2.22721026110857,3.16528177930988,14.9618232631667,"7",31,"Javier Baez (CHC - 2B,3B,SS) as 2B. Total: 3.17",4
"32","Trea Turner (WSH - SS)",598,96,18,70,44,0.283,0.342,169,30,7,54,117,0.445,0.788,"99%",1,"ss",1.42944704892143,-0.523134709224744,-0.525542845362347,2.20808228280109,0.522303679440349,4.90987124463519,2.09183258837871,3.49816529792067,5.76454420522217,3.11115545657577,16.2644133361567,"7",32,"Trea Turner (WSH - SS) as SS. Total: 3.11",4
