Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
"Aaron Judge (NYY - LF,CF,RF,DH)",528,107,48,119,8,0.285,0.408,151,26,1,110,167,0.613,1.021,1,of,2.65,3.64,3.44,-0.77,3.25,,,,,,7.265432099,6.449511401,8.634564644,0.800970874,12.20631144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mookie Betts (LAD - 2B,SS,RF)",563,101,27,90,15,0.279,0.364,157,33,3,76,90,0.494,0.859,1,2b,2.73,2.04,2.63,0.05,2.50,,,,,,6.858024691,3.627850163,6.530343008,1.501820388,9.950947326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarik Skubal (DET - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,c,,,,,,2.64,2.45,2.22,1.88,0.00,NA,NA,NA,NA,9.194001668,190.4,221,14,8,2.88,1.01,61,31,31,20,0,0,150,41,0,4.246535461,4.150943396,NA,NA
"Juan Soto (NYM - LF,RF)",531,107,34,96,9,0.277,0.417,147,28,2,127,111,0.529,0.946,2,of,2.65,1.71,1.76,-0.66,3.60,,,,,,7.265432099,4.568403909,6.965699208,0.901092233,9.059329559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bobby Witt Jr. (KC - SS),604,104,30,95,34,0.296,0.348,179,36,8,48,109,0.534,0.881,1,ss,2.09,1.66,1.97,1.43,1.44,,,,,,7.061728395,4.030944625,6.893139842,3.404126214,8.578045072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Ramirez (CLE - 3B,DH)",586,93,29,94,29,0.274,0.342,161,36,3,60,79,0.497,0.839,1,3b,2.01,1.17,1.48,2.25,1.41,,,,,,6.314814815,3.896579805,6.820580475,2.903519417,8.317163311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Skenes (PIT - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,c,,,,,,2.79,1.92,1.87,1.57,0.00,NA,NA,NA,NA,8.148661733,172,211,12,7,2.83,1.05,54,30,30,19,0,0,132,48,0,4.054384535,3.943396226,NA,NA
"Vladimir Guerrero Jr. (TOR - 1B,3B,DH)",586,94,31,99,5,0.298,0.371,174,35,1,68,94,0.523,0.895,2,3b,2.11,1.46,1.83,-0.49,3.06,,,,,,6.382716049,4.165309446,7.183377309,0.500606796,7.964771258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"William Contreras (MIL - C,DH)",546,81,23,83,7,0.271,0.35,148,30,1,66,132,0.457,0.808,1,c,2.19,1.03,1.66,1.33,1.70,,,,,,5.5,3.090390879,6.022427441,0.700849515,7.912579147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Harper (PHI - 1B),546,90,29,92,10,0.279,0.373,152,35,1,81,138,0.506,0.878,2,1b,1.76,1.16,1.29,1.50,2.19,,,,,,6.111111111,3.896579805,6.675461741,1.001213592,7.888001444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunnar Henderson (BAL - SS),582,104,31,90,16,0.273,0.353,159,31,6,72,150,0.51,0.862,3,ss,2.09,1.80,1.60,-0.32,1.69,,,,,,7.061728395,4.165309446,6.530343008,1.601941748,6.850504506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elly De La Cruz (CIN - SS),586,96,25,81,52,0.256,0.325,150,32,8,60,198,0.465,0.789,2,ss,1.48,0.95,0.93,3.17,0.30,,,,,,6.518518519,3.359120521,5.877308707,5.20631068,6.825028358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ketel Marte (ARI - 2B,DH)",547,89,26,86,7,0.274,0.352,150,30,3,66,112,0.49,0.842,2,2b,1.69,1.86,2.24,-0.93,1.87,,,,,,6.043209877,3.493485342,6.240105541,0.700849515,6.737771665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freddie Freeman (LAD - 1B),559,92,22,88,11,0.287,0.368,160,35,2,71,105,0.476,0.843,3,1b,1.94,0.02,0.96,1.77,1.96,,,,,,6.24691358,2.956026059,6.385224274,1.101334951,6.651396549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Sale (ATL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,c,,,,,,1.94,1.52,1.73,1.26,0.00,NA,NA,NA,NA,6.450783396,169.8,207,13,7,3.12,1.08,59,29,29,18,0,0,139,44,0,3.977524164,3.735849057,NA,NA
Zack Wheeler (PHI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,c,,,,,,1.41,1.52,1.84,1.57,0.00,NA,NA,NA,NA,6.340779885,197.2,210,14,8,3.3,1.08,72,31,31,19,0,0,162,51,0,4.035169442,3.943396226,NA,NA
"Yordan Alvarez (HOU - LF,DH)",514,91,35,99,3,0.301,0.387,154,30,2,72,101,0.578,0.965,3,of,1.31,1.85,1.98,-1.30,2.42,,,,,,6.179012346,4.70276873,7.183377309,0.300364078,6.271150835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corbin Carroll (ARI - CF,RF)",572,105,23,77,40,0.259,0.338,148,27,10,68,127,0.46,0.798,6,of,2.48,0.20,0.38,2.60,0.50,,,,,,7.12962963,3.090390879,5.58707124,4.004854369,6.161683405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Logan Gilbert (SEA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,c,,,,,,1.12,1.79,1.53,1.57,0.00,NA,NA,NA,NA,6.006512335,195.1,201,13,9,3.4,1.06,74,31,31,19,1,0,164,42,0,3.862233609,3.943396226,NA,NA
Kyle Tucker (CHC - RF),544,90,29,91,22,0.274,0.366,149,30,2,79,96,0.494,0.861,8,of,1.23,1.02,1.40,0.71,1.60,,,,,,6.111111111,3.896579805,6.602902375,2.202669903,5.9561103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacob deGrom (TEX - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,c,,,,,,2.41,3.39,0.05,0.01,0.00,NA,NA,NA,NA,5.85445144,120.3,158,9,5,2.96,0.94,40,23,23,14,0,0,89,24,0,3.035984628,2.905660377,NA,NA
Fernando Tatis Jr. (SD - RF),563,95,33,90,21,0.275,0.338,155,31,2,54,137,0.516,0.854,4,of,1.65,1.58,1.33,0.60,0.50,,,,,,6.450617284,4.434039088,6.530343008,2.102548544,5.650153939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ronald Acuna Jr. (ATL - RF),462,92,24,69,36,0.291,0.374,134,25,2,61,98,0.508,0.882,9,of,1.39,0.33,-0.20,2.18,1.91,,,,,,6.24691358,3.2247557,5.006596306,3.604368932,5.61970174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Crochet (BOS - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,c,,,,,,1.88,1.38,1.49,0.63,0.00,NA,NA,NA,NA,5.393128276,153.6,200,12,7,3.14,1.09,54,30,30,16,0,0,122,46,0,3.843018516,3.320754717,NA,NA
Matt Olson (ATL - 1B),576,90,33,102,1,0.251,0.34,144,30,1,78,159,0.48,0.82,4,1b,1.76,1.81,2.11,-1.00,0.67,,,,,,6.111111111,4.434039088,7.401055409,0.100121359,5.346483061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rafael Devers (BOS - 3B),556,88,30,93,4,0.27,0.346,150,33,2,65,136,0.503,0.849,4,3b,1.55,1.31,1.41,-0.60,1.64,,,,,,5.975308642,4.030944625,6.748021108,0.400485437,5.301816839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Miller (ATH - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,c,,,,,,1.52,1.96,0.80,,1.00,NA,NA,NA,NA,5.274358693,66,97,3,3,2.72,1,20,62,NA,NA,NA,29,43,23,3.800635425,NA,NA,1,1
Austin Riley (ATL - 3B),586,93,32,96,2,0.27,0.332,158,32,2,55,159,0.497,0.829,3,3b,2.01,1.61,1.62,-0.83,0.84,,,,,,6.314814815,4.299674267,6.965699208,0.200242718,5.248572952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pete Alonso (NYM - 1B),567,86,35,99,4,0.241,0.32,137,25,1,65,151,0.475,0.794,5,1b,1.39,2.14,1.86,-0.17,-0.25,,,,,,5.839506173,4.70276873,7.183377309,0.400485437,4.971476868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Schwarber (PHI - LF,DH)",543,95,37,93,4,0.226,0.343,122,21,1,96,190,0.476,0.818,18,of,1.65,2.13,1.54,-1.19,0.70,,,,,,6.450617284,4.971498371,6.748021108,0.400485437,4.825523232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Francisco Lindor (NYM - SS),595,96,28,86,23,0.257,0.325,153,31,2,59,127,0.457,0.782,5,ss,1.48,1.37,1.30,0.36,0.30,,,,,,6.518518519,3.762214984,6.240105541,2.302791262,4.811069858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Cease (SD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,c,,,,,,0.83,0.45,2.08,1.26,0.00,NA,NA,NA,NA,4.615643792,184.3,217,13,9,3.5,1.16,72,31,31,18,1,0,146,68,0,4.16967509,3.735849057,NA,NA
Julio Rodriguez (SEA - CF),593,89,27,86,28,0.277,0.33,164,28,2,46,154,0.472,0.802,7,of,1.14,0.75,1.03,1.34,0.19,,,,,,6.043209877,3.627850163,6.240105541,2.803398058,4.454091957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edwin Diaz (NYM - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,c,,,,,,0.99,1.32,0.59,,1.50,NA,NA,NA,NA,4.397109394,64,93,4,3,2.92,1.05,21,62,NA,NA,NA,35,44,23,4.586973789,NA,NA,2,1
"Jazz Chisholm Jr. (NYY - 3B,CF)",533,80,26,77,34,0.248,0.311,132,22,3,49,151,0.447,0.759,6,3b,0.80,0.73,0.28,2.82,-0.35,,,,,,5.432098765,3.493485342,5.58707124,3.404126214,4.27844448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willson Contreras (STL - C,DH)",477,69,22,69,6,0.247,0.329,118,24,1,58,137,0.44,0.769,5,c,1.11,0.85,0.63,0.93,0.67,,,,,,4.685185185,2.956026059,5.006596306,0.600728155,4.191297784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmanuel Clase (CLE - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,c,,,,,,1.76,1.70,-0.87,,1.50,NA,NA,NA,NA,4.089757222,67.5,65,4,3,2.63,1.02,20,66,NA,NA,NA,35,55,14,4.586973789,NA,NA,1,1
Blake Snell (LAD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,c,,,,,,1.30,0.31,1.73,0.63,0.00,NA,NA,NA,NA,3.980315084,159.1,207,12,6,3.34,1.17,59,29,29,16,1,0,117,70,0,3.977524164,3.320754717,NA,NA
Cal Raleigh (SEA - C),508,68,29,83,3,0.223,0.302,113,22,1,58,157,0.447,0.749,4,c,1.02,2.09,1.66,-0.28,-0.65,,,,,,4.617283951,3.896579805,6.022427441,0.300364078,3.838255268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jose Altuve (HOU - 2B),569,86,20,68,17,0.27,0.331,153,29,1,52,109,0.428,0.759,3,2b,1.43,0.78,0.52,0.30,0.77,,,,,,5.839506173,2.687296417,4.934036939,1.702063107,3.787304285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Glasnow (LAD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,c,,,,,,1.47,1.79,0.50,0.01,0.00,NA,NA,NA,NA,3.762869201,138.6,171,10,5,3.28,1.06,50,24,24,14,0,0,107,40,0,3.285780831,2.905660377,NA,NA
"Manny Machado (SD - 3B,DH)",573,80,29,94,8,0.266,0.325,153,27,1,50,123,0.47,0.795,5,3b,0.80,1.17,1.48,-0.14,0.44,,,,,,5.432098765,3.896579805,6.820580475,0.800970874,3.74278379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felix Bautista (BAL - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,c,,,,,,1.49,1.19,0.07,,0.83,NA,NA,NA,NA,3.584964253,57.6,83,4,2,2.73,1.06,17,55,NA,NA,NA,27,38,23,3.538522637,NA,NA,1,3
Marcus Semien (TEX - 2B),587,89,22,73,11,0.249,0.316,146,28,3,58,103,0.422,0.738,5,2b,1.69,1.14,1.00,-0.44,-0.02,,,,,,6.043209877,2.956026059,5.296833773,1.101334951,3.365535908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corbin Burnes (ARI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,c,,,,,,0.71,0.45,0.94,1.26,0.00,NA,NA,NA,NA,3.363203761,187.3,184,13,8,3.54,1.16,74,31,31,18,0,0,164,54,0,3.535577035,3.735849057,NA,NA
Framber Valdez (HOU - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,c,,,,,,1.30,0.05,0.74,1.26,0.00,NA,NA,NA,NA,3.339531601,186.3,178,13,8,3.34,1.19,69,29,29,18,2,0,162,60,0,3.42028648,3.735849057,NA,NA
Logan Webb (SF - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,c,,,,,,1.15,0.18,0.39,1.57,0.00,NA,NA,NA,NA,3.295446171,198.3,168,13,9,3.39,1.18,75,31,31,19,1,0,189,44,0,3.228135554,3.943396226,NA,NA
"Brent Rooker (ATH - LF,DH)",549,82,36,92,8,0.254,0.326,139,25,2,59,184,0.505,0.831,11,of,0.56,1.99,1.47,-0.77,0.03,,,,,,5.567901235,4.83713355,6.675461741,0.800970874,3.283592982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozzie Albies (ATL - 2B),565,81,21,81,12,0.263,0.314,148,32,3,42,98,0.443,0.757,4,2b,1.00,0.96,1.76,-0.31,-0.13,,,,,,5.5,2.821661238,5.877308707,1.201456311,3.276361541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Hader (HOU - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,c,,,,,,0.40,0.94,0.59,,1.33,NA,NA,NA,NA,3.260266306,66.4,93,5,3,3.14,1.08,23,67,NA,NA,NA,33,46,26,4.324861001,NA,NA,1,1
Cole Ragans (KC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,c,,,,,,0.77,-0.09,1.60,0.95,0.00,NA,NA,NA,NA,3.228262434,179.1,203,12,9,3.52,1.2,70,30,30,17,1,0,148,67,0,3.900663794,3.528301887,NA,NA
Yoshinobu Yamamoto (LAD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,c,,,,,,1.24,1.25,0.32,0.32,0.00,NA,NA,NA,NA,3.134666624,158.7,166,12,6,3.36,1.1,59,27,27,15,1,0,134,41,0,3.189705369,3.113207547,NA,NA
Devin Williams (NYY - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,c,,,,,,1.31,0.30,0.22,,1.25,NA,NA,NA,NA,3.082781101,61.8,86,4,3,2.8,1.13,19,58,NA,NA,NA,32,41,28,4.193804607,NA,NA,1,2
Pablo Lopez (MIN - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,c,,,,,,0.25,0.45,1.43,0.95,0.00,NA,NA,NA,NA,3.065499904,189.7,198,12,10,3.7,1.16,78,31,31,17,0,0,173,47,0,3.804588331,3.528301887,NA,NA
"Matt McLain (CIN - 2B,SS)",490,74,21,70,18,0.252,0.326,123,27,3,54,152,0.452,0.777,6,2b,0.39,0.96,0.71,0.42,0.50,,,,,,5.024691358,2.821661238,5.079155673,1.802184466,2.979947651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adley Rutschman (BAL - C,DH)",521,74,18,69,2,0.258,0.342,134,27,1,66,94,0.42,0.762,6,c,1.56,0.14,0.63,-0.69,1.31,,,,,,5.024691358,2.418566775,5.006596306,0.200242718,2.951926976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andres Munoz (SEA - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,c,,,,,,1.44,0.68,-0.04,,0.83,NA,NA,NA,NA,2.918070494,62.3,81,4,3,2.75,1.1,19,61,NA,NA,NA,27,44,24,3.538522637,NA,NA,1,3
Sonny Gray (STL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,c,,,,,,0.74,0.58,0.94,0.63,0.00,NA,NA,NA,NA,2.901474211,173.8,184,12,8,3.53,1.15,68,29,29,16,0,0,151,48,0,3.535577035,3.320754717,NA,NA
Max Fried (NYY - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,c,,,,,,1.30,0.31,0.22,0.95,0.00,NA,NA,NA,NA,2.778441525,174.1,163,12,8,3.34,1.17,65,29,29,17,2,0,153,51,0,3.132060091,3.528301887,NA,NA
"Jackson Chourio (MIL - LF,CF,RF)",588,85,23,83,27,0.268,0.318,157,30,4,43,134,0.451,0.769,10,of,0.81,0.20,0.82,1.23,-0.28,,,,,,5.771604938,3.090390879,6.022427441,2.703276699,2.774428961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Ryan (MIN - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,c,,,,,,0.16,1.52,0.67,0.32,0.00,NA,NA,NA,NA,2.665906015,160.7,176,10,8,3.73,1.08,67,28,28,15,0,0,137,37,0,3.381856294,3.113207547,NA,NA
Trea Turner (PHI - SS),592,90,21,78,23,0.279,0.323,165,31,2,39,124,0.449,0.773,6,ss,1.03,0.38,0.70,0.36,0.20,,,,,,6.111111111,2.821661238,5.659630607,2.302791262,2.665866273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcell Ozuna (ATL - LF,DH)",561,83,32,95,1,0.263,0.335,147,26,1,61,154,0.483,0.818,16,of,0.64,1.44,1.69,-1.51,0.39,,,,,,5.635802469,4.299674267,6.893139842,0.100121359,2.649655072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luis Castillo (SEA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,c,,,,,,0.39,0.31,0.94,0.95,0.00,NA,NA,NA,NA,2.595982894,181.7,184,12,10,3.65,1.17,74,31,31,17,0,0,160,52,0,3.535577035,3.528301887,NA,NA
George Kirby (SEA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,c,,,,,,0.92,1.65,-0.33,0.32,0.00,NA,NA,NA,NA,2.560783426,157,147,11,8,3.47,1.07,61,27,27,15,0,0,145,23,0,2.82461861,3.113207547,NA,NA
Ryan Helsley (STL - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,c,,,,,,0.85,0.43,-0.14,,1.42,NA,NA,NA,NA,2.557343837,64.3,79,4,3,2.97,1.12,21,63,NA,NA,NA,34,48,24,4.455917395,NA,NA,2,1
Shota Imanaga (CHC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,c,,,,,,0.39,0.98,0.43,0.63,0.00,NA,NA,NA,NA,2.436047065,170.6,169,11,8,3.65,1.12,69,29,29,16,1,0,154,37,0,3.247350646,3.320754717,NA,NA
Corey Seager (TEX - SS),482,77,29,80,2,0.281,0.353,136,26,1,54,95,0.523,0.876,7,ss,0.05,1.52,0.85,-1.68,1.69,,,,,,5.228395062,3.896579805,5.80474934,0.200242718,2.427882461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarren Duran (BOS - LF,CF)",590,92,18,71,30,0.266,0.323,157,38,8,49,149,0.452,0.775,13,of,1.39,-0.49,-0.06,1.55,-0.08,,,,,,6.24691358,2.418566775,5.15171504,3.003640777,2.308119651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oneil Cruz (PIT - SS,CF)",548,79,25,81,21,0.253,0.32,139,30,3,54,178,0.458,0.778,8,ss,0.20,0.95,0.93,0.16,0.05,,,,,,5.364197531,3.359120521,5.877308707,2.102548544,2.287542263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spencer Strider (ATL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,c,,,,,,1.24,1.38,0.26,-0.62,0.00,NA,NA,NA,NA,2.262588888,122.7,164,9,6,3.36,1.09,46,22,22,12,0,0,94,40,0,3.151275183,2.490566038,NA,NA
Jhoan Duran (MIN - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,c,,,,,,1.31,0.43,-0.25,,0.75,NA,NA,NA,NA,2.237215435,63.2,77,5,3,2.8,1.12,20,62,NA,NA,NA,26,50,20,3.407466243,NA,NA,1,4
Christian Walker (HOU - 1B),532,76,29,88,5,0.24,0.315,128,26,1,59,138,0.459,0.774,7,1b,0.47,1.16,0.96,0.11,-0.48,,,,,,5.160493827,3.896579805,6.385224274,0.500606796,2.223944917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freddy Peralta (MIL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,c,,,,,,0.13,0.18,1.22,0.63,0.00,NA,NA,NA,NA,2.162466816,168.8,192,11,9,3.74,1.18,70,30,30,16,0,0,138,61,0,3.689297776,3.320754717,NA,NA
Aaron Nola (PHI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,c,,,,,,-0.19,0.45,0.94,0.95,0.00,NA,NA,NA,NA,2.145737553,187.4,184,12,9,3.85,1.16,80,31,31,17,1,0,174,44,0,3.535577035,3.528301887,NA,NA
Ryan Walker (SF - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,c,,,,,,0.72,0.68,-0.04,,0.75,NA,NA,NA,NA,2.113050276,68.2,81,4,3,3.02,1.1,23,66,NA,NA,NA,26,54,21,3.407466243,NA,NA,1,6
"Teoscar Hernandez (LAD - LF,RF)",573,81,29,95,9,0.259,0.314,149,28,1,46,182,0.467,0.781,14,of,0.48,1.02,1.69,-0.66,-0.44,,,,,,5.5,3.896579805,6.893139842,0.901092233,2.088708788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raisel Iglesias (ATL - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,c,,,,,,0.26,0.94,-0.45,,1.33,NA,NA,NA,NA,2.08114285,67.1,73,4,3,3.19,1.08,24,66,NA,NA,NA,33,56,17,4.324861001,NA,NA,1,1
Tanner Bibee (CLE - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,c,,,,,,0.33,0.45,0.63,0.63,0.00,NA,NA,NA,NA,2.049259729,169.5,175,11,9,3.67,1.16,69,29,29,16,0,0,150,47,0,3.362641202,3.320754717,NA,NA
Justin Steele (CHC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,c,,,,,,0.86,0.31,0.22,0.63,0.00,NA,NA,NA,NA,2.028146056,169.2,163,11,8,3.49,1.17,66,29,29,16,1,0,152,45,0,3.132060091,3.320754717,NA,NA
Michael King (SD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,c,,,,,,0.60,-0.22,1.01,0.63,0.00,NA,NA,NA,NA,2.022001972,172.3,186,12,9,3.58,1.21,69,30,30,16,0,0,148,61,0,3.57400722,3.320754717,NA,NA
Alex Bregman (BOS - 3B),570,82,22,82,3,0.26,0.334,148,30,2,63,84,0.44,0.774,7,3b,0.99,0.14,0.63,-0.72,0.95,,,,,,5.567901235,2.956026059,5.949868074,0.300364078,1.997132729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Chapman (SF - 3B),554,80,25,79,9,0.24,0.32,133,31,2,65,162,0.442,0.761,9,3b,0.80,0.58,0.42,-0.03,0.16,,,,,,5.432098765,3.359120521,5.732189974,0.901092233,1.930024262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
