Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
"Jake Burger (TEX - 1B,3B,DH)",529,70,30,81,2,0.244,0.291,129,24,2,36,155,0.467,0.758,12,3b,-0.13,1.31,0.56,-0.83,-1.49,,,,,,4.75308642,4.030944625,5.877308707,0.200242718,-0.573246896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grayson Rodriguez (BAL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,c,,,,,,0.30,-0.09,-0.50,-0.30,0.00,NA,NA,NA,NA,-0.587426824,132.9,142,9,7,3.68,1.2,54,23,23,13,0,0,117,42,0,2.728543147,2.698113208,NA,NA
Orion Kerkering (PHI - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,c,,,,,,0.53,0.43,-0.56,,-1.01,NA,NA,NA,NA,-0.609219419,62.2,71,4,3,3.09,1.12,21,60,NA,NA,NA,5,51,19,0.65528197,NA,NA,1,12
"Alec Bohm (PHI - 1B,3B)",550,70,16,78,4,0.276,0.326,152,32,2,41,93,0.429,0.754,11,3b,-0.13,-0.74,0.35,-0.60,0.50,,,,,,4.75308642,2.149837134,5.659630607,0.400485437,-0.624696545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolis Garcia (TEX - RF,DH)",533,73,26,81,11,0.234,0.293,124,24,1,45,164,0.436,0.729,37,of,-0.19,0.61,0.67,-0.45,-1.26,,,,,,4.956790123,3.493485342,5.877308707,1.101334951,-0.6251811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Houck (BOS - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,c,,,,,,-0.19,-0.76,-0.02,0.32,0.00,NA,NA,NA,NA,-0.645950559,177.3,156,11,9,3.85,1.25,76,36,29,15,1,0,168,54,0,2.997554443,3.113207547,NA,NA
Ryan McMahon (COL - 3B),548,70,20,69,6,0.241,0.321,132,27,1,65,180,0.407,0.728,20,3b,-0.13,-0.16,-0.28,-0.37,0.22,,,,,,4.75308642,2.687296417,5.006596306,0.600728155,-0.725369409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Volpe (NYY - SS),576,79,16,65,27,0.237,0.297,137,29,4,49,144,0.388,0.685,16,ss,0.20,-0.34,-0.26,0.75,-1.09,,,,,,5.364197531,2.149837134,4.716358839,2.703276699,-0.746239946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eugenio Suarez (ARI - 3B),528,70,23,80,2,0.235,0.307,124,24,1,54,170,0.418,0.725,16,3b,-0.13,0.28,0.49,-0.83,-0.58,,,,,,4.75308642,3.090390879,5.80474934,0.200242718,-0.763215767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christopher Morel (TB - 2B,3B,LF,CF,RF,DH)",442,61,22,64,9,0.232,0.304,102,18,3,46,135,0.437,0.741,23,2b,-0.74,1.14,0.13,-0.68,-0.65,,,,,,4.141975309,2.956026059,4.643799472,0.901092233,-0.798229223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ezequiel Tovar (COL - SS),614,77,22,78,10,0.262,0.295,161,37,4,29,172,0.441,0.737,10,ss,0.05,0.52,0.70,-0.90,-1.19,,,,,,5.228395062,2.956026059,5.659630607,1.001213592,-0.822853205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brendan Donovan (STL - 2B,3B,LF)",506,67,12,61,6,0.275,0.34,139,26,2,50,77,0.407,0.747,17,2b,-0.22,-0.67,-0.15,-1.05,1.24,,,,,,4.549382716,1.61237785,4.426121372,0.600728155,-0.847942173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Martin (TEX - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,c,,,,,,-0.08,0.56,-1.24,,-0.09,NA,NA,NA,NA,-0.855167038,57.7,58,3,2,3.32,1.11,21,55,NA,NA,NA,16,54,10,2.096902303,NA,NA,1,8
"Luis Arraez (SD - 1B,2B,DH)",592,77,6,58,7,0.307,0.347,182,31,3,36,36,0.401,0.748,7,2b,0.65,-1.75,-0.44,-0.93,1.61,,,,,,5.228395062,0.806188925,4.208443272,0.700849515,-0.863321975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
