"Player","IP","K","SV","BS","HD","ERA","WHIP","ER","G","W","L","Rost%","POSRANK","Hits","Walks","POS","ERAscaled","WHIPscaled","Kscaled","SVscaled","SVSGP","GS","QS","CG","QSscaled","KSGP","QSSGP"
"Dylan Cease (TOR - SP)",170.2,200,0,NA,NA,3.69,1.22,70,31,11,9,"98%",21,142,65,"c",0.507857797684877,-0.0341003805655086,1.71417752246169,0,0,30,16,0,0.927229119839627,2.83822138126774,1.97162061239731
"Freddy Peralta (NYM - SP)",165.4,183,0,NA,NA,3.78,1.2,69,30,12,8,"99%",22,137,61,"c",0.252795287686893,0.22821023916918,1.08950404160748,0,0,30,15,0,0.544076590980277,2.59697256385998,1.84839432412248
"Sonny Gray (BOS - SP)",171.5,180,0,NA,NA,3.74,1.2,71,30,11,9,"96%",23,160,45,"c",0.366156403241551,0.22821023916918,0.979267544986154,0,0,30,16,0,0.927229119839627,2.55439924314097,1.97162061239731
"Nick Pivetta (SD - SP)",169.6,183,0,NA,NA,3.91,1.16,74,29,10,9,"98%",24,145,51,"c",-0.115628337865753,0.752831478638556,1.08950404160748,0,0,29,15,0,0.544076590980277,2.59697256385998,1.84839432412248
"Kevin Gausman (TOR - SP)",179.1,175,0,NA,NA,3.93,1.21,78,30,12,9,"97%",25,164,53,"c",-0.172308895643083,0.0970549293018355,0.79554005061727,0,0,30,16,1,0.927229119839627,2.48344370860927,1.97162061239731
"Luis Castillo (SEA - SP)",178.7,167,0,NA,NA,3.88,1.19,77,31,11,9,"94%",26,162,51,"c",-0.0306075011997573,0.359365549036524,0.501576059627055,0,0,30,16,0,0.927229119839627,2.36991485335856,1.97162061239731
"Brandon Woodruff (MIL - SP)",147,156,0,NA,NA,3.76,1.13,61,27,10,8,"90%",27,127,40,"c",0.309475845464223,1.14629740824059,0.097375572015509,0,0,27,14,0,0.160924062120927,2.21381267738884,1.72516803584765
"Spencer Strider (ATL - SP)",158.3,187,0,NA,NA,3.95,1.21,69,28,11,9,"93%",28,137,56,"c",-0.228989453420413,0.0970549293018355,1.23648603710259,0,0,28,14,0,0.160924062120927,2.65373699148534,1.72516803584765
"Drew Rasmussen (TB - SP)",154.2,139,0,NA,NA,3.64,1.17,62,30,10,8,"84%",29,139,41,"c",0.649559192128202,0.621676168771212,-0.527297908838698,0,0,30,14,0,0.160924062120927,1.97256385998108,1.72516803584765
"Tanner Bibee (CLE - SP)",177.2,166,0,NA,NA,3.94,1.22,78,30,11,10,"85%",30,164,53,"c",-0.200649174531747,-0.0341003805655086,0.464830560753278,0,0,30,15,1,0.544076590980277,2.35572374645222,1.84839432412248
"Blake Snell (LAD - SP)",130.9,162,0,NA,NA,3.45,1.22,50,23,10,6,"95%",31,102,57,"c",1.18802449101284,-0.0341003805655086,0.31784856525817,0,0,23,13,0,-0.222228466738423,2.29895931882687,1.60194174757282
"Ranger Suarez (BOS - SP)",167,150,0,NA,NA,3.67,1.25,68,28,11,8,"88%",32,161,47,"c",0.564538355462207,-0.427566310167541,-0.123097421227152,0,0,28,15,0,0.544076590980277,2.1286660359508,1.84839432412248
"Kyle Bradish (BAL - SP)",138.1,149,0,NA,NA,3.59,1.18,55,25,9,7,"95%",33,119,44,"c",0.791260586571527,0.490520858903868,-0.159842920100929,0,0,26,13,0,-0.222228466738423,2.11447492904447,1.60194174757282
"Matthew Boyd (CHC - SP)",162.8,147,0,NA,NA,3.92,1.21,71,28,11,9,"81%",34,150,47,"c",-0.143968616754417,0.0970549293018355,-0.233333917848483,0,0,28,14,0,0.160924062120927,2.08609271523179,1.72516803584765
"MacKenzie Gore (TEX - SP)",160.1,181,0,NA,NA,3.88,1.25,69,29,10,9,"87%",35,140,60,"c",-0.0306075011997573,-0.427566310167541,1.01601304385993,0,0,29,14,0,0.160924062120927,2.5685903500473,1.72516803584765
"Tyler Glasnow (LAD - SP)",130.2,152,0,NA,NA,3.64,1.17,53,23,9,6,"93%",36,105,48,"c",0.649559192128202,0.621676168771212,-0.0496064234795986,0,0,23,12,0,-0.605380995597773,2.15704824976348,1.47871545929798
"Michael King (SD - SP)",157.5,165,0,NA,NA,3.81,1.24,67,28,10,8,"87%",37,139,56,"c",0.167774451020897,-0.296411000300197,0.428085061879501,0,0,29,14,1,0.160924062120927,2.34153263954589,1.72516803584765
"Emmet Sheehan (LAD - SP)",134.5,156,0,NA,NA,3.81,1.16,57,34,9,6,"84%",38,111,45,"c",0.167774451020897,0.752831478638556,0.097375572015509,0,0,24,11,0,-0.988533524457123,2.21381267738884,1.35548917102315
"Ryan Pepiot (TB - SP)",167.5,171,0,NA,NA,4.05,1.22,75,31,10,10,"90%",39,145,59,"c",-0.512392242307062,-0.0341003805655086,0.648558055122162,0,0,31,15,0,0.544076590980277,2.42667928098392,1.84839432412248
"Shota Imanaga (CHC - SP)",154.8,142,0,NA,NA,4.09,1.15,70,27,10,8,"82%",40,144,34,"c",-0.625753357861722,0.8839867885059,-0.417061412217367,0,0,27,14,0,0.160924062120927,2.0151371807001,1.72516803584765
"Zac Gallen (ARI - SP)",179.6,168,0,NA,NA,4.12,1.27,82,31,12,10,"83%",41,170,58,"c",-0.710774194527717,-0.689876929902229,0.538321558500832,0,0,31,16,0,0.927229119839627,2.3841059602649,1.97162061239731
"Aaron Nola (PHI - SP)",169,167,0,NA,NA,4.14,1.22,78,29,10,9,"67%",42,161,45,"c",-0.767454752305046,-0.0341003805655086,0.501576059627055,0,0,29,14,0,0.160924062120927,2.36991485335856,1.72516803584765
"Jack Flaherty (DET - SP)",158.3,174,0,NA,NA,4.01,1.25,71,29,10,9,"79%",43,142,55,"c",-0.399031126752402,-0.427566310167541,0.758794551743493,0,0,29,14,0,0.160924062120927,2.46925260170293,1.72516803584765
"Nick Lodolo (CIN - SP)",152.4,155,0,NA,NA,4.03,1.19,68,28,9,9,"88%",44,141,41,"c",-0.455711684529733,0.359365549036524,0.0606300731417321,0,0,28,13,1,-0.222228466738423,2.1996215704825,1.60194174757282
"Shane McClanahan (TB - SP)",128.4,136,0,NA,NA,3.63,1.17,52,23,8,7,"55%",45,111,39,"c",0.677899471016867,0.621676168771212,-0.637534405460029,0,0,23,12,0,-0.605380995597773,1.92999053926206,1.47871545929798
"Carlos Rodon (NYY - SP)",145.3,152,0,NA,NA,3.99,1.22,64,26,10,8,"73%",46,124,53,"c",-0.342350568975073,-0.0341003805655086,-0.0496064234795986,0,0,26,13,0,-0.222228466738423,2.15704824976348,1.60194174757282
"Eury Perez (MIA - SP)",137.5,151,0,NA,NA,3.91,1.18,60,27,8,8,"90%",47,115,47,"c",-0.115628337865753,0.490520858903868,-0.0863519223533755,0,0,27,12,0,-0.605380995597773,2.14285714285714,1.47871545929798
"Nolan McLean (NYM - SP)",150.5,145,0,NA,NA,3.82,1.28,64,26,10,8,"90%",48,134,58,"c",0.139434172132233,-0.821032239769573,-0.306824915596037,0,0,26,13,0,-0.222228466738423,2.05771050141911,1.60194174757282
"Robbie Ray (SF - SP)",171.1,177,0,NA,NA,4.19,1.28,80,30,10,10,"82%",49,153,66,"c",-0.909156146748373,-0.821032239769573,0.869031048364824,0,0,30,15,1,0.544076590980277,2.51182592242195,1.84839432412248
"Gavin Williams (CLE - SP)",166.1,169,0,NA,NA,3.98,1.31,73,30,10,9,"86%",50,146,71,"c",-0.314010290086407,-1.21449816937161,0.575067057374609,0,0,30,15,0,0.544076590980277,2.39829706717124,1.84839432412248
"Chase Burns (CIN - SP,RP)",115.1,138,0,NA,NA,3.63,1.16,46,26,7,6,"91%",51,98,36,"c",0.677899471016867,0.752831478638556,-0.564043407712475,0,0,21,10,1,-1.37168605331647,1.95837275307474,1.23226288274832
"Edward Cabrera (CHC - SP)",138,148,0,NA,NA,3.9,1.24,60,26,9,7,"62%",52,117,54,"c",-0.0872880589770873,-0.296411000300197,-0.196588418974706,0,0,26,12,0,-0.605380995597773,2.10028382213813,1.47871545929798
"Kris Bubic (KC - SP)",141.3,138,0,NA,NA,3.77,1.26,59,30,9,7,"53%",53,131,47,"c",0.281135566575557,-0.558721620034885,-0.564043407712475,0,0,25,12,0,-0.605380995597773,1.95837275307474,1.47871545929798
"Merrill Kelly (ARI - SP)",159.8,143,0,NA,NA,4.05,1.26,72,28,10,8,"53%",54,153,48,"c",-0.512392242307062,-0.558721620034885,-0.380315913343591,0,0,27,14,0,0.160924062120927,2.02932828760643,1.72516803584765
"Sandy Alcantara (MIA - SP)",179.5,149,0,NA,NA,4.13,1.27,82,30,10,11,"81%",55,174,53,"c",-0.739114473416382,-0.689876929902229,-0.159842920100929,0,0,30,15,1,0.544076590980277,2.11447492904447,1.84839432412248
"Jose Soriano (LAA - SP)",170.2,155,0,NA,NA,3.82,1.34,72,31,10,10,"17%",56,155,72,"c",0.139434172132233,-1.60796409897364,0.0606300731417321,0,0,30,16,0,0.927229119839627,2.1996215704825,1.97162061239731
