"Player","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Own","POSRANK","POS","Wscaled","ERAscaled","Kscaled","WHIPscaled","totalScaled","Jenks","OverallRank","label","Tier"
"Trevor Williams (PIT - SP)",156.8,118,10,10,4.07,1.33,71,156,53,18,29,28,16,1,"22%",97,"sp",-0.128186771229006,-0.675494603515512,-0.963285630091843,-1.00741900112051,-2.77438600595687,"2",76,"Trevor Williams (PIT - SP) as SP. Total: -2.77",9
"Vince Velasquez (PHI - SP)",138.9,148,9,9,4.23,1.33,65,130,55,20,27,27,11,0,"4%",79,"sp",-0.516631532529022,-1.08832553003378,-0.199177515264892,-1.00741900112051,-2.8115535789482,"2",77,"Vince Velasquez (PHI - SP) as SP. Total: -2.81",9
"Matthew Boyd (DET - SP)",166.5,151,9,11,4.45,1.29,82,162,53,26,30,30,15,0,"25%",84,"sp",-0.516631532529022,-1.65596805399639,-0.122766703782197,-0.529969237556287,-2.8253355278639,"2",78,"Matthew Boyd (DET - SP) as SP. Total: -2.83",9
"Julio Teheran (ATL - SP)",167.9,149,9,10,4.34,1.31,81,151,68,24,28,28,17,0,"54%",90,"sp",-0.516631532529022,-1.37214679201508,-0.17370724477066,-0.768694119338399,-2.83117968865316,"2",79,"Julio Teheran (ATL - SP) as SP. Total: -2.83",9
"Dylan Bundy (BAL - SP)",173.4,174,9,12,4.61,1.31,89,173,54,31,30,30,16,1,"27%",89,"sp",-0.516631532529022,-2.06879898051466,0.463049517585132,-0.768694119338399,-2.89107511479695,"2",80,"Dylan Bundy (BAL - SP) as SP. Total: -2.89",9
"Freddy Peralta (MIL - SP)",121.3,142,8,7,4.12,1.32,55,101,59,17,23,22,14,0,"19%",81,"sp",-0.905076293829039,-0.804504268052469,-0.351999138230282,-0.888056560229454,-2.94963626034124,"2",81,"Freddy Peralta (MIL - SP) as SP. Total: -2.95",9
"Sonny Gray (CIN - SP)",150.5,141,10,10,4.18,1.37,70,148,58,18,28,28,15,0,"36%",63,"sp",-0.128186771229006,-0.959315865496818,-0.377469408724514,-1.48486876468473,-2.94984081013507,"2",82,"Sonny Gray (CIN - SP) as SP. Total: -2.95",9
"Anibal Sanchez (WSH - SP)",142,137,8,8,4.22,1.29,67,139,45,21,27,26,14,0,"22%",87,"sp",-0.905076293829039,-1.06252359712638,-0.47935049070144,-0.529969237556287,-2.97691961921315,"2",83,"Anibal Sanchez (WSH - SP) as SP. Total: -2.98",9
"Mike Leake (SEA - SP)",182.8,121,10,11,4.29,1.31,87,202,38,24,31,31,17,0,"3%",95,"sp",-0.128186771229006,-1.24313712747813,-0.886874818609148,-0.768694119338399,-3.02689283665468,"2",84,"Mike Leake (SEA - SP) as SP. Total: -3.03",9
"Josh James (HOU - SP)",94.9,110,6,5,3.75,1.28,40,82,40,10,29,14,5,0,"20%",94,"sp",-1.68196581642907,0.15016724952102,-1.1670477940457,-0.410606796665231,-3.10945315761898,"2",85,"Josh James (HOU - SP) as SP. Total: -3.11",9
